SchoolID SchoolName FamilyofSchools Ward LOI2014Score LOI2014Rank LOI2011Score LOI2011Rank LOI2009Score LOI2009Rank
96 "Donview Middle Health and Wellness Academy" ER15 17 0.625495 193 0.57299 219 0.575821 213
1367 "Morse Street Junior Public School" WR10 15 0.623661 194 0.829538 74 0.881519 48
1026 "William Burgess Elementary School" WR10 15 0.621794 195 0.660634 173 0.59492 201
1212 "North Bendale Junior Public School" ER14 19 0.619938 196 0.668011 169 0.647771 170
1168 "Henry Hudson Senior Public School" ER20 22 0.618623 197 0.608825 198 0.625794 184
1247 "Tom Longboat Junior Public School" ER20 21 0.618456 198 0.566549 223 0.620987 188
1022 "Thorncliffe Park Public School" ER16 13 0.617515 199 0.671901 167 0.639056 175
1199 "Manhattan Park Junior Public School" ER12 19 0.616476 200 0.513853 249 0.571097 214
1149 "Ellesmere-Statton Public School" ER12 19 0.616079 201 0.605723 200 0.563935 218
1456 "Weston Memorial Junior Public School" WR5 6 0.614779 202 0.666551 170 0.536236 230
70 "Charles H Best Middle School" WR3 5 0.613129 203 0.581376 212 0.462274 266
1021 "Selwyn Elementary School" ER11 16 0.609926 204 0.529879 237 0.36293 329
316 "Fisherville Senior Public School" WR3 5 0.607841 205 0.501803 255 0.474305 259
1142 "Donwood Park Junior Public School" ER14 19 0.607791 206 0.595656 206 0.666612 163
1385 "Pauline Junior Public School" WR7 9 0.603053 207 0.644551 183 0.632141 178
1109 "Berner Trail Junior Public School" ER20 21 0.597992 208 0.494286 259 0.485466 255
223 "Park Lane Public School" ER16 13 0.596362 209 0.525237 243 0.50541 247
1300 "Dovercourt Public School" WR7 9 0.593433 210 0.610853 196 0.578306 210
1222 "Regent Heights Public School" ER12 18 0.593391 211 0.537679 234 0.569261 215
1151 "Fairglen Junior Public School" ER18 20 0.589097 212 0.661317 172 0.706948 144
1121 "Burrows Hall Junior Public School" ER20 21 0.588718 213 0.462125 268 0.525732 233
1150 "Emily Carr Public School" ER20 21 0.587583 214 0.543594 232 0.534259 231
196 "Milne Valley Middle School" ER15 17 0.587128 215 0.494363 258 0.490419 253
